"","CL3","CC1","SV1","M31Fcsw","M11Fcsw","M31Plmr","M11Plmr","F21Plmr","M31Tong","M11Tong","LMEpi24M","SLEpi20M","AQC1cm","AQC4cm","AQC7cm","NP2","NP3","NP5","TRRsed1","TRRsed2","TRRsed3","TS28","TS29","Even1","Even2","Even3"
"549322",0,0,0,0,0,0,0,0,0,0,0,1,27,100,130,1,0,0,0,0,0,0,0,0,0,0
"522457",0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
"951",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244423",0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,0,0,0,0,0,0,0,0,0,0,0
"586076",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"246140",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"143239",7,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244960",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"255340",153,194,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0
"144887",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141782",9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215972",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31759",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30678",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138353",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"406058",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30405",808,11,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0
"1126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"46043",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,431,0,1,2,0,0,0,0,0
"512519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0
"554594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
"210741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"550229",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"105798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
"183473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
"541313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"540305",0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,2,4,5,63,1320,2305,4,0,22,0,0
"511243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0
"568829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"185612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,25,0,0,0,0,0
"321018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,9,116,0,0,0,0,0
"549041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
"153762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"155789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"155495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"155526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,37,426,1,0,5,1,0
"197473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,98,0,0,0,0,0
"315545",0,0,0,0,0,0,0,1,10,1,0,0,2,2,0,1,117,727,217,921,694,0,0,1,0,1
"348549",0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,1,47,771,176,440,340,0,0,4,1,0
"559394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,8,5,0,0,0,0,0
"341551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"108964",0,1,0,0,0,0,2,6,1,0,1,0,1,0,1,3,7,1,166,3437,6404,10,3,21,0,2
"330416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"573586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"568724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,3,151,117,0,0,1,0,0
"175045",0,0,0,0,1,0,0,2,0,0,3,0,0,1,2,1,6,3,83,1692,3030,5,0,27,1,0
"552540",0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"546313",72,153,11232,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,9,20,11,0,1,2,2,29
"548602",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
"564501",0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"47778",1,14,207,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2
"54107",2,87,746,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,2,25,17,1,1,0,0,4
"25116",1,4,169,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0,0
"71074",93,341,11788,1,0,23,48,58,2,0,1,1,0,1,0,0,1,0,9,118,51,0,1,4,3,30
"252853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"100679",6,72,1709,0,0,5,11,19,0,0,1,0,0,0,1,0,0,0,0,33,20,2,0,0,0,2
"540349",16,25,1271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2
"1140",0,18,124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1
"101071",18,0,3,0,0,11,0,8,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
"1143",1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"141739",1,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1141",0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"237125",0,7,75,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0
"1144",8,71,474,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,17,3,0,0,0,2,1
"512943",7,28,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,1
"235345",0,22,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
"141417",8,87,647,0,0,0,4,3,1,1,0,0,0,1,0,0,0,0,1,14,2,0,0,0,0,2
"268471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"395774",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"142115",0,0,0,0,0,0,0,0,0,0,0,0,3,81,72,1,0,0,0,0,0,0,0,0,0,0
"239672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,66,0,0,0,0,0
"462844",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,21,30,0,0,0,0,0
"243675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
"444679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"540290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,0,0,0,0,0
"523571",0,0,0,0,0,0,0,0,0,0,0,0,2,26,36,0,0,0,0,0,0,0,0,0,0,0
"545095",0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0
"105679",0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,0,0
"105066",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"515962",0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,0,0,0,0,0,0,0,0,0,0,0
"525569",0,0,0,0,0,0,0,0,0,0,1,0,1,14,18,1,0,0,0,0,0,0,0,0,0,0
"238793",0,0,0,0,0,0,0,0,0,0,0,0,17,196,246,0,0,0,1,0,0,0,0,0,0,0
"538819",0,0,0,0,0,0,0,0,0,0,0,0,2,26,30,0,0,0,0,0,0,0,0,0,0,0
"515691",0,0,0,0,0,0,0,0,0,0,0,2,18,187,213,1,0,0,0,0,0,0,0,0,0,0
"525464",0,0,0,0,0,0,0,0,0,0,0,0,10,94,114,1,0,0,0,0,0,0,0,0,0,0
"529521",0,0,0,0,0,0,0,0,0,0,0,0,1,12,23,0,0,0,0,0,0,0,0,0,0,0
"202343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"455926",0,0,0,0,0,0,0,0,1,0,0,1,8,122,139,0,0,0,0,0,2,0,0,0,0,0
"246371",0,0,0,0,0,0,0,0,0,1,10,13,143,1730,1874,10,0,0,1,1,1,0,1,2,0,0
"282132",0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0,0,0,0,0,0,0,0,0
"254458",0,0,0,0,0,0,0,0,0,2,4,2,63,796,840,4,0,0,1,0,0,0,0,1,0,0
"245697",0,3,0,1,1,0,0,0,2,1,19,31,646,6350,6459,42,2,3,0,2,0,0,0,6,1,1
"45742",0,0,0,0,0,0,0,0,0,0,1,0,28,321,205,2,0,0,0,1,0,0,0,0,0,0
"441638",0,0,0,0,0,0,0,0,0,0,1,0,1,29,12,0,0,0,0,0,1,0,0,0,0,0
"251993",0,0,0,0,0,0,0,0,0,0,0,1,6,60,43,1,0,0,0,0,0,0,0,0,0,0
"462098",0,0,0,0,0,0,0,0,0,0,1,1,6,113,81,0,0,0,0,0,0,0,0,1,0,0
"570593",0,0,0,0,0,0,0,0,0,0,0,1,11,124,133,0,0,0,0,0,0,0,0,0,0,0
"159421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"104332",0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,2,86,0,1,0,0,0
"137608",0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0
"200619",0,0,0,0,0,0,0,0,0,0,0,0,1,10,6,0,0,2,0,1,233,1,0,2,0,0
"568129",0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,0,0,0,0,0,9,0,0,0,0,0
"348720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0
"528115",0,0,0,0,0,0,0,0,0,0,0,1,2,25,32,0,4,0,0,0,0,0,0,0,0,0
"257655",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0
"173903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"47016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"548723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"542636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"526502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"311512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"132088",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202347",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"152431",0,0,0,0,0,0,0,0,0,0,0,0,4,25,25,0,0,0,0,0,0,0,0,0,0,0
"272691",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"236606",0,0,0,0,0,0,0,0,0,0,0,0,5,90,100,0,0,0,0,0,0,0,0,0,0,0
"525",0,0,0,0,0,0,0,0,0,0,1,0,3,34,35,0,0,0,0,0,0,0,0,0,0,0
"52710",0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,0,0,0,0,0,0,0,0,0,0,0
"592689",0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0
"55681",0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1,0,0,0,0,0,0,0,0,0,0
"206978",0,0,0,0,0,0,0,0,0,0,0,0,4,26,38,0,0,0,0,0,0,0,0,0,0,0
"467541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"566371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"453468",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"557121",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"524986",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"102663",0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0
"264985",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0
"37119",0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0
"349670",0,0,0,0,0,0,0,0,0,0,0,0,0,59,54,0,0,0,0,0,0,0,0,0,0,0
"240012",0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0
"248224",0,0,0,0,0,0,0,0,0,0,0,0,9,53,66,0,0,0,0,0,0,0,0,0,0,0
"236057",0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0
"236619",0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0
"565033",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212360",10,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"146124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,1,0,0,0,0,0,0,0
"251552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0
"542257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"548984",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"201596",0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"158026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"62881",0,0,0,0,0,0,0,0,1,1,2,2,237,600,691,3,1,0,0,0,0,0,0,3,0,0
"329648",0,0,0,0,0,0,0,0,0,0,0,0,37,166,210,1,0,0,0,0,0,0,0,0,0,0
"570725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"206080",0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0
"547371",0,0,0,0,0,0,0,0,0,0,2,2,194,257,265,4,0,0,0,0,0,0,0,0,1,0
"140729",0,0,0,0,0,0,0,0,0,0,1,0,98,132,125,2,0,0,0,0,0,0,0,1,0,0
"347836",15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76707",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"136107",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170941",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155703",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213630",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"448625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"101828",0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0
"319002",3,0,0,1,0,0,0,0,3,6,46,51,1784,9254,11824,73,9,8,0,2,0,2,1,21,5,1
"219191",0,0,0,0,0,0,0,0,0,1,0,0,29,150,186,1,0,0,0,0,0,0,0,0,0,0
"410763",0,0,0,0,0,0,0,0,0,0,0,0,2,62,48,0,0,0,0,0,0,0,0,0,0,0
"412056",0,0,0,0,0,0,0,0,0,0,1,2,26,110,129,1,0,0,0,0,0,0,0,1,0,0
"550661",0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0
"550655",0,0,0,0,0,0,0,0,0,0,0,0,2,16,16,0,0,0,0,0,0,0,0,0,0,0
"526",0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,0,0,0,0,0,0,0,0,0,0,0
"515698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"379145",0,0,0,0,0,0,0,0,0,0,0,0,5,10,12,0,0,0,0,0,0,0,0,0,0,0
"245798",0,0,0,0,0,0,0,0,0,0,0,0,11,33,36,0,0,0,0,0,0,0,0,0,0,0
"583469",0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
"254858",0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,0,0,0,0,0,0,0,0,0,0,0
"407348",0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0
"250392",2,2,3,2,0,2,11,1,194,11,7,2,160,56,16,1396,42696,24854,56,14,1,3,1,10,5,8
"148407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"104364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"250570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"308755",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,59,18,1014,1,0,0,0,0,0,0,0
"147601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
"255494",1,0,0,0,0,0,2,0,30,2,0,0,1,9,1,60,159,3386,8,2,0,0,0,0,0,0
"146866",1,0,0,0,0,0,0,1,13,0,0,0,1,1,0,34,23,1026,2,1,0,0,1,0,0,0
"155847",0,0,0,0,0,0,0,0,15,1,0,0,1,6,1,94,16,1369,4,0,0,0,1,0,0,1
"715",0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,21,187,2,0,0,0,0,0,0,0
"32110",0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"140297",0,0,0,0,0,0,0,0,0,0,0,0,8,19,17,0,0,0,0,0,0,0,0,0,0,0
"105600",0,0,0,0,0,0,0,0,0,0,0,0,5,12,8,1,0,0,0,0,0,0,0,0,0,0
"40123",0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0,0,0,23,70,86,0,1,0,0,0,0,0,0,0,0,0
"18599",0,0,0,0,0,0,0,0,0,0,1,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0
"77878",1,0,0,0,0,0,1,0,2,2,20,22,634,2083,2518,17,3,1,1,1,0,1,2,2,0,1
"101553",0,0,0,0,0,0,0,0,0,0,0,2,26,71,59,1,0,0,0,0,1,0,1,0,0,0
"204",0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0,0,0,0,2,1,62,369,291,3,1,0,0,0,0,0,0,1,0,0
"551498",0,0,0,0,0,0,0,0,0,0,0,0,8,19,13,0,0,0,0,0,0,0,0,0,0,0
"99797",0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,0,0,0,0,0,0,0,0
"150294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"153917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"348180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"547463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"152271",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227785",0,1,0,27,54,0,0,0,4,0,1,0,7,0,0,0,1,1,0,1,11,1566,1668,2,0,2
"104804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"228569",0,0,0,0,0,0,0,0,0,0,0,0,21,98,65,0,0,0,0,0,0,0,0,0,0,0
"100449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"262662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"246686",0,0,0,0,0,0,0,0,0,0,1,1,21,125,89,1,0,0,0,0,0,0,0,0,0,0
"166443",0,0,0,0,0,0,0,0,0,0,0,0,1,18,20,0,0,0,0,0,0,0,0,0,0,0
