"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"549322","Archaea","Crenarchaeota","Thermoprotei",NA,NA,NA,NA
"522457","Archaea","Crenarchaeota","Thermoprotei",NA,NA,NA,NA
"951","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobusacidocaldarius"
"244423","Archaea","Crenarchaeota","Sd-NA",NA,NA,NA,NA
"586076","Archaea","Crenarchaeota","Sd-NA",NA,NA,NA,NA
"246140","Archaea","Crenarchaeota","Sd-NA",NA,NA,NA,NA
"143239","Archaea","Crenarchaeota","Sd-NA","NRP-J",NA,NA,NA
"244960","Archaea","Crenarchaeota","Sd-NA","NRP-J",NA,NA,NA
"255340","Archaea","Crenarchaeota","Sd-NA","NRP-J",NA,NA,NA
"144887","Archaea","Crenarchaeota","Sd-NA","NRP-J",NA,NA,NA
"141782","Archaea","Crenarchaeota","Sd-NA","NRP-J",NA,NA,NA
"215972","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","SAGMA-X",NA,NA
"31759","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","SAGMA-X",NA,NA
"30678","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","SAGMA-X",NA,NA
"138353","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"406058","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"30405","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"1126","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"46043","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"512519","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"554594","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"210741","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"550229","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"105798","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"183473","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"541313","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"540305","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"511243","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"568829","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"185612","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"321018","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae",NA,NA
"549041","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Cenarchaeum",NA
"153762","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Cenarchaeum",NA
"155789","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Cenarchaeum",NA
"155495","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Cenarchaeum","Cenarchaeumsymbiosum"
"1029","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Cenarchaeum","Cenarchaeumsymbiosum"
"155526","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"197473","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"315545","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"348549","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"559394","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"341551","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus","pIVWA5"
"108964","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus","pIVWA5"
"330416","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus","pIVWA5"
"573586","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"568724","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"175045","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"552540","Archaea","Crenarchaeota","Thaumarchaeota","Cenarchaeales","Cenarchaeaceae","Nitrosopumilus",NA
"546313","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"548602","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"564501","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"47778","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"54107","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"25116","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"71074","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1145"
"252853","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1145"
"100679","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1145"
"540349","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1145"
"1140","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"101071","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1170"
"1143","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1170"
"141739","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1170"
"1141","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"237125","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"1144","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"512943","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"235345","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"141417","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"268471","Archaea","Crenarchaeota",NA,NA,NA,NA,NA
"395774","Archaea","Crenarchaeota",NA,NA,NA,NA,NA
"142115","Archaea","Crenarchaeota",NA,NA,NA,NA,NA
"239672","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"462844","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"243675","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"444679","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"540290","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"523571","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"545095","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"105679","Archaea","Crenarchaeota","C2",NA,NA,NA,NA
"105066","Archaea","Crenarchaeota","C2",NA,NA,NA,NA
"515962","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"525569","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"238793","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"538819","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"515691","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"525464","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"529521","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"202343","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"455926","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"246371","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"282132","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"254458","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"245697","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"45742","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"441638","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"251993","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"462098","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"570593","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"159421","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"104332","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"137608","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"200619","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"568129","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"348720","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"528115","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"257655","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"173903","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronococcus",NA
"47016","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronorubrum",NA
"548723","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haloterrigena","Haloterrigenathermotolerans"
"542636","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haloterrigena","Haloterrigenathermotolerans"
"526502","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halomicrobium","Halomicrobiummukohataei"
"311512","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haloarcula",NA
"132088","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haloarcula",NA
"202347","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta",NA
"152431","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta","Methanosaetathermophila"
"272691","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta",NA
"236606","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta",NA
"525","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta",NA
"52710","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"592689","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"55681","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcinaacetivorans"
"206978","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcinamazei"
"467541","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcinamazei"
"566371","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae",NA,NA
"453468","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales",NA,NA,NA
"557121","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"Methanosphaerula","Methanosphaerulapalustris"
"524986","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"Methanosphaerula","Methanosphaerulapalustris"
"102663","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"Methanolinea",NA
"264985","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"Methanolinea",NA
"37119","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"CandidatusMethanoregula",NA
"349670","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"CandidatusMethanoregula",NA
"240012","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"CandidatusMethanoregula",NA
"248224","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"CandidatusMethanoregula",NA
"236057","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,NA,NA
"236619","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,NA,NA
"565033","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum",NA
"212360","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum","Methanocorpusculumlabreanum"
"146124","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupIII",NA,NA
"251552","Archaea","Euryarchaeota","Thermoplasmata","E2",NA,NA,NA
"542257","Archaea","Euryarchaeota","Thermoplasmata","E2",NA,NA,NA
"548984","Archaea","Euryarchaeota","Thermoplasmata","E2","MOB7-9",NA,NA
"201596","Archaea","Euryarchaeota","Thermoplasmata","E2","MOB7-9",NA,NA
"158026","Archaea","Euryarchaeota","Thermoplasmata","E2","MOB7-9",NA,NA
"62881","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"329648","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"570725","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"206080","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"547371","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"140729","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"347836","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"76707","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"136107","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"170941","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"155703","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"213630","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"546805","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"448625","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"101828","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"319002","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"219191","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"410763","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"412056","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"550661","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"550655","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"526","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"515698","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"379145","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"245798","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"583469","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"254858","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"407348","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"250392","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"148407","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"104364","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"250570","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"308755","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"147601","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"255494","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"146866","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"155847","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"715","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"32110","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","WSA2",NA,NA
"140297","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","MSBL1","SAGMEG-1",NA
"105600","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"40123","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"79","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacteriumbryantii"
"18599","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"77878","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"101553","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacteriumbeijingense"
"204","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"134","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"551498","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"99797","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"150294","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaerastadtmanae"
"155634","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera",NA
"153917","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera",NA
"348180","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA
"138","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA
"547463","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacterarboriphilus"
"152271","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA
"227785","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibactersmithii"
"104804","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA
"128","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA
"228569","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA
"100449","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA
"262662","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA
"246686","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA
"166443","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA
